Operation, a, b, c, d, e, f, g, h
0, 1,0,0,0,0,0,0,0
1, 1,79,0,0,0,0,0,0
2, 1,79,79,0,0,0,0,0
4, 1,7900,79,0,0,0,0,0
5, 1,107900,79,0,0,0,0,0
6, 1,107900,107900,0,0,0,0,0
7, 1,107900,124900,0,0,0,0,0
8, 1,107900,124900,0,0,1,0,0
9, 1,107900,124900,2,0,1,0,0
10, 1,107900,124900,2,53950,1,0,0
11, 1,107900,124900,2,53950,1,2,0
12, 1,107900,124900,2,53950,1,107900,0
13, 1,107900,124900,2,53950,1,0,0
15, 1,107900,124900,2,53950,0,0,0
16, 1,107900,124900,2,53951,0,0,0
17, 1,107900,124900,2,53951,0,53951,0
18, 1,107900,124900,2,53951,0,-53949,0
20, 1,107900,124900,2,53951,0,2,0
21, 1,107900,124900,2,53951,0,107902,0
22, 1,107900,124900,2,53951,0,2,0
24, 1,107900,124900,2,53952,0,2,0
25, 1,107900,124900,2,53952,0,53952,0
26, 1,107900,124900,2,53952,0,-53948,0
28, 1,107900,124900,2,53952,0,2,0
29, 1,107900,124900,2,53952,0,107904,0
30, 1,107900,124900,2,53952,0,4,0
32, 1,107900,124900,2,53953,0,4,0
33, 1,107900,124900,2,53953,0,53953,0
34, 1,107900,124900,2,53953,0,-53947,0
36, 1,107900,124900,2,53953,0,2,0
37, 1,107900,124900,2,53953,0,107906,0
38, 1,107900,124900,2,53953,0,6,0
40, 1,107900,124900,2,53954,0,6,0
41, 1,107900,124900,2,53954,0,53954,0
42, 1,107900,124900,2,53954,0,-53946,0
44, 1,107900,124900,2,53954,0,2,0
45, 1,107900,124900,2,53954,0,107908,0
46, 1,107900,124900,2,53954,0,8,0
48, 1,107900,124900,2,53955,0,8,0
49, 1,107900,124900,2,53955,0,53955,0
50, 1,107900,124900,2,53955,0,-53945,0
52, 1,107900,124900,2,53955,0,2,0
53, 1,107900,124900,2,53955,0,107910,0
54, 1,107900,124900,2,53955,0,10,0
56, 1,107900,124900,2,53956,0,10,0
57, 1,107900,124900,2,53956,0,53956,0
58, 1,107900,124900,2,53956,0,-53944,0
60, 1,107900,124900,2,53956,0,2,0
61, 1,107900,124900,2,53956,0,107912,0
62, 1,107900,124900,2,53956,0,12,0
64, 1,107900,124900,2,53957,0,12,0
65, 1,107900,124900,2,53957,0,53957,0
66, 1,107900,124900,2,53957,0,-53943,0
68, 1,107900,124900,2,53957,0,2,0
69, 1,107900,124900,2,53957,0,107914,0
70, 1,107900,124900,2,53957,0,14,0
72, 1,107900,124900,2,53958,0,14,0
73, 1,107900,124900,2,53958,0,53958,0
74, 1,107900,124900,2,53958,0,-53942,0
76, 1,107900,124900,2,53958,0,2,0
77, 1,107900,124900,2,53958,0,107916,0
78, 1,107900,124900,2,53958,0,16,0
80, 1,107900,124900,2,53959,0,16,0
81, 1,107900,124900,2,53959,0,53959,0
82, 1,107900,124900,2,53959,0,-53941,0
84, 1,107900,124900,2,53959,0,2,0
85, 1,107900,124900,2,53959,0,107918,0
86, 1,107900,124900,2,53959,0,18,0
88, 1,107900,124900,2,53960,0,18,0
89, 1,107900,124900,2,53960,0,53960,0
90, 1,107900,124900,2,53960,0,-53940,0
92, 1,107900,124900,2,53960,0,2,0
93, 1,107900,124900,2,53960,0,107920,0
94, 1,107900,124900,2,53960,0,20,0
96, 1,107900,124900,2,53961,0,20,0
97, 1,107900,124900,2,53961,0,53961,0
98, 1,107900,124900,2,53961,0,-53939,0
100, 1,107900,124900,2,53961,0,2,0
101, 1,107900,124900,2,53961,0,107922,0
102, 1,107900,124900,2,53961,0,22,0
104, 1,107900,124900,2,53962,0,22,0
105, 1,107900,124900,2,53962,0,53962,0
106, 1,107900,124900,2,53962,0,-53938,0
108, 1,107900,124900,2,53962,0,2,0
109, 1,107900,124900,2,53962,0,107924,0
110, 1,107900,124900,2,53962,0,24,0
112, 1,107900,124900,2,53963,0,24,0
113, 1,107900,124900,2,53963,0,53963,0
114, 1,107900,124900,2,53963,0,-53937,0
116, 1,107900,124900,2,53963,0,2,0
117, 1,107900,124900,2,53963,0,107926,0
118, 1,107900,124900,2,53963,0,26,0
120, 1,107900,124900,2,53964,0,26,0
121, 1,107900,124900,2,53964,0,53964,0
122, 1,107900,124900,2,53964,0,-53936,0
124, 1,107900,124900,2,53964,0,2,0
125, 1,107900,124900,2,53964,0,107928,0
126, 1,107900,124900,2,53964,0,28,0
128, 1,107900,124900,2,53965,0,28,0
129, 1,107900,124900,2,53965,0,53965,0
130, 1,107900,124900,2,53965,0,-53935,0
132, 1,107900,124900,2,53965,0,2,0
133, 1,107900,124900,2,53965,0,107930,0
134, 1,107900,124900,2,53965,0,30,0
136, 1,107900,124900,2,53966,0,30,0
137, 1,107900,124900,2,53966,0,53966,0
138, 1,107900,124900,2,53966,0,-53934,0
140, 1,107900,124900,2,53966,0,2,0
141, 1,107900,124900,2,53966,0,107932,0
142, 1,107900,124900,2,53966,0,32,0
144, 1,107900,124900,2,53967,0,32,0
145, 1,107900,124900,2,53967,0,53967,0
146, 1,107900,124900,2,53967,0,-53933,0
148, 1,107900,124900,2,53967,0,2,0
149, 1,107900,124900,2,53967,0,107934,0
150, 1,107900,124900,2,53967,0,34,0
152, 1,107900,124900,2,53968,0,34,0
153, 1,107900,124900,2,53968,0,53968,0
154, 1,107900,124900,2,53968,0,-53932,0
156, 1,107900,124900,2,53968,0,2,0
157, 1,107900,124900,2,53968,0,107936,0
158, 1,107900,124900,2,53968,0,36,0
160, 1,107900,124900,2,53969,0,36,0
161, 1,107900,124900,2,53969,0,53969,0
162, 1,107900,124900,2,53969,0,-53931,0
164, 1,107900,124900,2,53969,0,2,0
165, 1,107900,124900,2,53969,0,107938,0
166, 1,107900,124900,2,53969,0,38,0
168, 1,107900,124900,2,53970,0,38,0
169, 1,107900,124900,2,53970,0,53970,0
170, 1,107900,124900,2,53970,0,-53930,0
172, 1,107900,124900,2,53970,0,2,0
173, 1,107900,124900,2,53970,0,107940,0
174, 1,107900,124900,2,53970,0,40,0
176, 1,107900,124900,2,53971,0,40,0
177, 1,107900,124900,2,53971,0,53971,0
178, 1,107900,124900,2,53971,0,-53929,0
180, 1,107900,124900,2,53971,0,2,0
181, 1,107900,124900,2,53971,0,107942,0
182, 1,107900,124900,2,53971,0,42,0
184, 1,107900,124900,2,53972,0,42,0
185, 1,107900,124900,2,53972,0,53972,0
186, 1,107900,124900,2,53972,0,-53928,0
188, 1,107900,124900,2,53972,0,2,0
189, 1,107900,124900,2,53972,0,107944,0
190, 1,107900,124900,2,53972,0,44,0
192, 1,107900,124900,2,53973,0,44,0
193, 1,107900,124900,2,53973,0,53973,0
194, 1,107900,124900,2,53973,0,-53927,0
196, 1,107900,124900,2,53973,0,2,0
197, 1,107900,124900,2,53973,0,107946,0
198, 1,107900,124900,2,53973,0,46,0
200, 1,107900,124900,2,53974,0,46,0
201, 1,107900,124900,2,53974,0,53974,0
202, 1,107900,124900,2,53974,0,-53926,0
204, 1,107900,124900,2,53974,0,2,0
205, 1,107900,124900,2,53974,0,107948,0
206, 1,107900,124900,2,53974,0,48,0
208, 1,107900,124900,2,53975,0,48,0
209, 1,107900,124900,2,53975,0,53975,0
210, 1,107900,124900,2,53975,0,-53925,0
212, 1,107900,124900,2,53975,0,2,0
213, 1,107900,124900,2,53975,0,107950,0
214, 1,107900,124900,2,53975,0,50,0
216, 1,107900,124900,2,53976,0,50,0
217, 1,107900,124900,2,53976,0,53976,0
218, 1,107900,124900,2,53976,0,-53924,0
220, 1,107900,124900,2,53976,0,2,0
221, 1,107900,124900,2,53976,0,107952,0
222, 1,107900,124900,2,53976,0,52,0
224, 1,107900,124900,2,53977,0,52,0
225, 1,107900,124900,2,53977,0,53977,0
226, 1,107900,124900,2,53977,0,-53923,0
228, 1,107900,124900,2,53977,0,2,0
229, 1,107900,124900,2,53977,0,107954,0
230, 1,107900,124900,2,53977,0,54,0
232, 1,107900,124900,2,53978,0,54,0
233, 1,107900,124900,2,53978,0,53978,0
234, 1,107900,124900,2,53978,0,-53922,0
236, 1,107900,124900,2,53978,0,2,0
237, 1,107900,124900,2,53978,0,107956,0
238, 1,107900,124900,2,53978,0,56,0
240, 1,107900,124900,2,53979,0,56,0
